step,t,atom_id,mol_id,x,y,z,S_i,S_avg,c_label
1,13000000,2288,16.0,3.41131,14.8131,14.5629,-5.957,-5.018,0
1,13000000,7192,48.0,14.4357,14.425,13.2672,-3.536,-5.329,0
1,13000000,8382,56.0,3.00967,12.1748,14.5133,-4.283,-5.111,0
1,13000000,8381,56.0,2.67964,12.3616,14.412,-6.85,-5.133,0
1,13000000,73,1.0,11.2959,2.42772,3.91589,-7.635,-6.307,1
1,13000000,3486,24.0,1.72757,11.0565,9.74538,-4.124,-5.216,0
1,13000000,7194,48.0,13.914,14.4387,13.6157,-5.982,-5.205,0
1,13000000,7188,48.0,14.3871,15.4268,12.7074,-5.911,-5.349,0
1,13000000,2289,16.0,3.39854,14.4362,14.6689,-5.882,-4.984,0
1,13000000,7190,48.0,14.4703,14.786,12.7246,-7.521,-5.289,0
1,13000000,77,1.0,10.2668,3.2146,4.20362,-5.755,-6.537,1
1,13000000,3492,24.0,1.83302,11.3711,11.7289,-6.166,-5.215,0
1,13000000,834,6.0,14.0249,13.9829,10.3958,-5.64,-5.379,0
1,13000000,72,1.0,11.6398,2.28071,4.02497,-7.449,-6.364,1
1,13000000,71,1.0,11.8324,2.10494,3.73366,-8.582,-6.126,1
1,13000000,70,1.0,12.1546,1.92826,3.85997,-8.252,-6.127,1
1,13000000,69,1.0,12.365,1.77895,3.57024,-5.798,-5.9,1
1,13000000,68,1.0,12.6587,1.55112,3.70468,-3.696,-5.916,1
1,13000000,833,6.0,13.85,14.1713,10.6873,-3.81,-5.596,0
1,13000000,4482,30.0,13.3936,12.3827,11.2787,-5.774,-5.136,0
1,13000000,828,6.0,13.015,15.4496,10.6698,-5.759,-6.086,1
1,13000000,7193,48.0,14.0494,14.4499,13.2435,-2.925,-5.24,0
1,13000000,830,6.0,13.1088,14.8247,10.8487,-6.383,-6.04,1
1,13000000,3914,27.0,1.38036,0.652159,12.1409,-3.49,-4.827,0
1,13000000,7106,48.0,7.55834,14.0601,3.07807,-6.303,-5.593,0
1,13000000,7189,48.0,14.4822,15.1155,12.936,-3.592,-5.194,0
1,13000000,1806,13.0,15.3599,10.4401,4.52776,-3.197,-5.222,0
1,13000000,1808,13.0,15.9023,10.5018,4.17111,-4.858,-5.15,0
1,13000000,1807,13.0,15.7427,10.5385,4.5079,-4.366,-5.183,0
1,13000000,1809,13.0,0.358265,10.5786,4.1535,-5.761,-5.052,0
1,13000000,3913,27.0,1.74005,0.789844,12.0714,-3.973,-4.77,0
1,13000000,837,6.0,14.6854,13.2377,10.2898,-4.837,-5.021,0
1,13000000,1805,13.0,15.1895,10.5178,4.85663,-4.391,-5.303,0
1,13000000,3494,24.0,1.91346,11.5945,12.3307,-7.309,-5.175,0
1,13000000,7191,48.0,14.5946,14.4648,12.9075,-5.375,-5.295,0
1,13000000,1804,13.0,14.832,10.3769,4.86654,-4.656,-5.263,0
1,13000000,4506,31.0,10.0806,6.16576,14.3299,-6.632,-5.112,0
1,13000000,826,6.0,12.4558,15.6691,10.9453,-7.662,-6.485,1
1,13000000,3919,27.0,0.417999,0.780951,12.8445,-3.78,-4.896,0
1,13000000,7105,48.0,7.59683,13.7953,2.78647,-3.484,-5.538,0
1,13000000,3493,24.0,1.65308,11.5197,12.0456,-4.052,-5.188,0
1,13000000,2290,16.0,3.45995,14.1787,14.3714,-5.475,-5.063,0
1,13000000,2292,16.0,3.67628,13.6011,14.2333,-3.834,-5.128,0
1,13000000,793,6.0,7.6543,8.85422,13.275,-4.677,-5.157,0
1,13000000,1803,13.0,14.7782,9.99931,4.99646,-6.439,-5.268,0
1,13000000,1801,13.0,14.4008,9.48878,5.00391,-6.364,-5.15,0
1,13000000,1802,13.0,14.4165,9.87777,4.95484,-6.101,-5.235,0
1,13000000,2291,16.0,3.53872,13.8177,14.5097,-4.039,-5.152,0
1,13000000,3918,27.0,0.533693,0.595644,12.5073,-2.607,-4.822,0
1,13000000,3917,27.0,0.762212,16.202,12.562,-4.152,-4.724,0
1,13000000,67,1.0,12.9105,1.39273,3.45191,-3.358,-5.762,1
1,13000000,794,6.0,7.91665,8.63284,13.0826,-4.814,-5.196,0
1,13000000,3916,27.0,0.973574,16.0856,12.2491,-3.212,-4.716,0
1,13000000,2704,19.0,5.98906,16.1404,10.4843,-7.088,-5.406,0
